CustomerID,Churn,Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,PreferredPaymentMode,Gender,HourSpendOnApp,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount,Tenure_zscore
50001,1,0.06557377049180328,Mobile Phone,3,0.008196721311475405,Debit Card,Female,0.6000000000000001,3,Laptop & Accessory,2,Single,9,1,0.0,1.0,1.0,0.10869565217391304,0.49210744945998336,-0.7408098384931765
50002,1,0.16165147245422629,Phone,1,0.02459016393442623,UPI,Male,0.6000000000000001,4,Mobile,3,Single,7,1,0.2666666666666667,0.0,1.0,0.0,0.37201144650604634,-0.039249544842047596
50003,1,0.16165147245422629,Phone,1,0.20491803278688525,Debit Card,Male,0.4,4,Mobile,3,Single,6,1,0.20000000000000007,0.0,1.0,0.06521739130434782,0.370103695498323,-0.039249544842047596
50004,1,0.0,Phone,3,0.0819672131147541,Debit Card,Male,0.4,4,Laptop & Accessory,5,Single,8,0,0.7999999999999999,0.0,1.0,0.06521739130434782,0.41253577033139477,-1.2196301343827876
50005,1,0.0,Phone,1,0.05737704918032786,CC,Male,0.5387250237868696,3,Mobile,5,Single,3,0,0.0,1.0,1.0,0.06521739130434782,0.39878150096926057,-1.2196301343827876
50006,1,0.0,Computer,1,0.13934426229508196,Debit Card,Female,0.6000000000000001,5,Mobile Phone,5,Single,2,1,0.7333333333333333,4.0,6.0,0.15217391304347827,0.42829010123388406,-1.2196301343827876
50007,1,0.16165147245422629,Phone,3,0.04918032786885246,Cash on Delivery,Male,0.4,3,Laptop & Accessory,2,Divorced,4,0,0.20000000000000007,0.0,1.0,0.0,0.3718883657958706,-0.039249544842047596
50008,1,0.16165147245422629,Phone,1,0.008196721311475405,CC,Male,0.6000000000000001,3,Mobile,2,Divorced,3,1,0.33333333333333337,2.0,2.0,0.0,0.378257792547463,-0.039249544842047596
50009,1,0.21311475409836067,Phone,3,0.032786885245901634,E wallet,Male,0.5387250237868696,4,Mobile,3,Divorced,2,1,0.20000000000000007,0.0,1.0,0.043478260869565216,0.3902581617895935,0.33653582725844833
50010,1,0.16165147245422629,Phone,1,0.21311475409836067,Debit Card,Male,0.4,5,Mobile,3,Single,2,0,0.06666666666666676,1.0,1.0,0.021739130434782608,0.378257792547463,-0.039249544842047596
50011,1,0.06557377049180328,Mobile Phone,1,0.10655737704918032,Cash on Delivery,Female,0.4,3,Others,3,Divorced,2,0,0.2997105045492142,9.0,15.0,0.17391304347826086,0.9091048955352471,-0.7408098384931765
